                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63154,                 4.1273,                 1.1872,                0.00247,                      1,                0.13759,                0.12096,                0.31167,                  7.837,                0.76225,                  9e-05,                  9e-05,                  9e-05
                      2,                0.33909,                 3.5442,                0.97496,                0.00309,                      1,                 0.3006,                0.29086,                0.20891,                 7.7927,                0.66119,             0.00018624,             0.00018624,             0.00018624
                      3,                0.39076,                 3.2096,                0.99058,                 0.0062,                      1,                0.33606,                0.31982,                0.24271,                 7.3533,                0.68145,             0.00027852,             0.00027852,             0.00027852
                      4,                0.35342,                 2.9159,                0.96504,                0.00335,                      1,                0.39823,                0.38632,                0.34934,                 7.7545,                0.71619,             0.00036683,             0.00036683,             0.00036683
                      5,                0.45264,                 2.7329,                 1.0201,                0.00303,                      1,                0.56702,                0.51654,                0.36975,                 7.3696,                0.79154,             0.00045119,             0.00045119,             0.00045119
                      6,                0.39867,                 2.3645,                0.95251,                0.88349,                0.11111,                0.70898,                 0.6814,                0.28664,                 6.5317,                0.69964,             0.00053159,             0.00053159,             0.00053159
                      7,                0.36042,                 2.2494,                0.93582,                0.71091,                0.48889,                0.66109,                0.63161,                0.39888,                 6.7256,                0.82072,             0.00060803,             0.00060803,             0.00060803
                      8,                 0.4114,                 2.6473,                0.99855,                0.54657,                0.76622,                0.79889,                0.76348,                  0.268,                 6.0596,                0.70974,             0.00068051,             0.00068051,             0.00068051
                      9,                0.41443,                  2.235,                0.92284,                0.77865,                0.66667,                0.78039,                0.65605,                0.44255,                 5.8718,                0.83062,             0.00074902,             0.00074902,             0.00074902
                     10,                0.43048,                 2.2254,                0.98452,                 0.7833,                0.71332,                0.86353,                0.78222,                 0.3342,                 5.5273,                0.72867,             0.00081358,             0.00081358,             0.00081358
                     11,                0.45542,                 2.1674,                0.98302,                0.90295,                0.76993,                0.91194,                0.87938,                0.29046,                 5.0684,                0.71025,               0.000802,               0.000802,               0.000802
                     12,                0.41604,                 2.0804,                0.94651,                0.90358,                0.65862,                0.86248,                0.75365,                0.39686,                 3.6254,                0.82387,               0.000802,               0.000802,               0.000802
                     13,                0.39032,                 1.7388,                0.94288,                0.88678,                0.81735,                 0.9012,                0.82295,                0.37666,                 3.1293,                0.76016,              0.0007822,              0.0007822,              0.0007822
                     14,                0.38848,                 1.7173,                0.98801,                0.83825,                0.71979,                0.87739,                0.77414,                0.30967,                 3.7812,                0.73778,              0.0007624,              0.0007624,              0.0007624
                     15,                0.39218,                 1.9344,                 0.9663,                0.66339,                0.86189,                0.90889,                0.79911,                 0.3712,                 4.4573,                0.80142,              0.0007426,              0.0007426,              0.0007426
                     16,                0.35949,                  1.711,                0.93296,                0.69445,                 0.9309,                0.97069,                0.91963,                0.31485,                 2.9303,                0.72718,              0.0007228,              0.0007228,              0.0007228
                     17,                0.37222,                 1.8066,                0.96937,                0.72433,                0.79696,                0.88485,                0.73981,                 1.2651,                 5.5486,                 2.2068,               0.000703,               0.000703,               0.000703
                     18,                0.37864,                 1.4774,                0.94601,                0.78323,                 0.7355,                0.87775,                0.81274,                0.44849,                 3.1105,                0.86221,              0.0006832,              0.0006832,              0.0006832
                     19,                0.34885,                 1.4874,                0.93153,                0.74311,                0.71336,                0.88261,                 0.8013,                0.41825,                 2.9479,                0.84243,              0.0006634,              0.0006634,              0.0006634
                     20,                0.40054,                 1.5095,                0.95967,                0.76122,                0.82696,                 0.8357,                0.77996,                 0.3786,                 3.5866,                0.80631,              0.0006436,              0.0006436,              0.0006436
                     21,                0.40055,                 1.5682,                0.96172,                0.82398,                0.89819,                0.91916,                0.90352,                0.35687,                 4.1457,                0.78901,              0.0006238,              0.0006238,              0.0006238
                     22,                 0.4367,                 1.6501,                0.97123,                0.90117,                 0.8885,                0.93933,                0.88852,                0.58453,                 3.5817,                0.89826,               0.000604,               0.000604,               0.000604
                     23,                 0.3482,                 1.3247,                0.91997,                0.92814,                0.88048,                0.93935,                0.92354,                0.36637,                 2.2465,                0.74412,              0.0005842,              0.0005842,              0.0005842
                     24,                0.32693,                 1.2793,                0.90153,                 0.9746,                0.87733,                0.96848,                0.94993,                0.24465,                 2.0035,                 0.6824,              0.0005644,              0.0005644,              0.0005644
                     25,                0.31875,                 1.2576,                0.93526,                0.98722,                0.87856,                0.98667,                0.96829,                0.23465,                 2.0848,                0.67705,              0.0005446,              0.0005446,              0.0005446
                     26,                 0.3341,                 1.1765,                  0.919,                0.91319,                0.95833,                0.96144,                0.88295,                0.31391,                 1.9491,                0.70955,              0.0005248,              0.0005248,              0.0005248
                     27,                0.29195,                 1.1729,                0.90919,                 0.9493,                0.89068,                0.98667,                0.94359,                0.28376,                 1.8037,                0.69721,               0.000505,               0.000505,               0.000505
                     28,                0.29583,                 1.3561,                0.92191,                0.89046,                0.84658,                0.95631,                0.94734,                0.23008,                 1.9005,                0.65589,              0.0004852,              0.0004852,              0.0004852
                     29,                0.29988,                 1.4689,                 0.8958,                0.93578,                0.88933,                0.98111,                0.93278,                0.21311,                 1.7808,                0.64866,              0.0004654,              0.0004654,              0.0004654
                     30,                0.30718,                 1.1381,                0.92591,                0.94648,                0.98402,                  0.995,                0.97626,                0.18917,                 1.8643,                0.63553,              0.0004456,              0.0004456,              0.0004456
                     31,                 0.2837,                  1.136,                0.89817,                0.97701,                0.96402,                  0.995,                0.97279,                0.20653,                 2.0159,                0.63707,              0.0004258,              0.0004258,              0.0004258
                     32,                0.29902,                 1.1682,                0.91417,                0.96705,                0.96172,                  0.995,                0.97992,                0.20169,                 1.8293,                0.63295,               0.000406,               0.000406,               0.000406
                     33,                0.28755,                 1.0851,                0.89448,                0.96916,                0.96328,                  0.995,                0.98307,                0.21184,                 1.7592,                0.63263,              0.0003862,              0.0003862,              0.0003862
                     34,                0.26846,                 1.0935,                0.90676,                0.92645,                  0.992,                  0.995,                0.97497,                0.22947,                 1.7636,                0.64299,              0.0003664,              0.0003664,              0.0003664
                     35,                 0.2568,                 1.0246,                0.87415,                0.96453,                0.92106,                  0.995,                  0.995,                0.21622,                 1.7496,                 0.6365,              0.0003466,              0.0003466,              0.0003466
                     36,                0.24478,                 1.1076,                0.89051,                0.93966,                0.95476,                  0.995,                0.98875,                0.21157,                  1.961,                0.64539,              0.0003268,              0.0003268,              0.0003268
                     37,                0.27407,                 1.1059,                0.89978,                0.95153,                0.95855,                  0.995,                0.98875,                 0.2292,                 1.5596,                0.66004,               0.000307,               0.000307,               0.000307
                     38,                0.21654,                 2.4905,                0.79681,                0.95073,                0.95713,                  0.995,                0.98875,                0.21313,                 1.5113,                 0.6516,              0.0002872,              0.0002872,              0.0002872
                     39,                0.26925,                  1.274,                0.89108,                0.92343,                  0.982,                  0.995,                0.98875,                0.21748,                 1.7084,                0.64795,              0.0002674,              0.0002674,              0.0002674
                     40,                0.25079,                  1.026,                0.89854,                0.97203,                0.99337,                  0.995,                  0.995,                0.21881,                  1.702,                0.65125,              0.0002476,              0.0002476,              0.0002476
                     41,                0.20397,                 1.1885,                0.81268,                0.96196,                0.99132,                  0.995,                0.98875,                0.20893,                 1.8218,                0.64777,              0.0002278,              0.0002278,              0.0002278
                     42,                0.21173,                 1.2513,                0.87768,                0.98293,                      1,                  0.995,                  0.995,                0.21058,                 1.8419,                0.63199,               0.000208,               0.000208,               0.000208
                     43,                0.19943,                 1.1626,                0.83825,                0.98786,                      1,                  0.995,                  0.995,                0.18686,                 1.5221,                0.61734,              0.0001882,              0.0001882,              0.0001882
                     44,                0.19863,                 1.0417,                0.79704,                0.98583,                      1,                  0.995,                0.98773,                0.17684,                 1.4362,                0.61777,              0.0001684,              0.0001684,              0.0001684
                     45,                0.18726,                 1.0666,                0.79201,                0.97314,                0.99382,                  0.995,                  0.995,                0.17693,                  1.438,                0.61478,              0.0001486,              0.0001486,              0.0001486
                     46,                 0.1626,                 1.0859,                0.79741,                0.98276,                0.97052,                  0.995,                  0.995,                0.18805,                 1.5765,                0.62307,              0.0001288,              0.0001288,              0.0001288
                     47,                0.17577,                 1.0772,                0.80207,                0.97081,                0.99359,                  0.995,                  0.995,                0.18818,                 1.5498,                0.62876,               0.000109,               0.000109,               0.000109
                     48,                0.17108,                 1.0092,                0.79925,                0.98473,                      1,                  0.995,                  0.995,                0.18549,                 1.4563,                0.62791,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.16287,                0.97498,                0.82998,                0.98753,                      1,                  0.995,                0.98773,                0.18681,                 1.4619,                 0.6225,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.16414,                0.99487,                0.81188,                0.98826,                      1,                  0.995,                  0.995,                 0.1851,                 1.4454,                0.61943,               4.96e-05,               4.96e-05,               4.96e-05
